Species,Steady_State_Value,Convergence_Time_min
R4,0.39991922455573503,884.884884884885
G4,0.15651596595966147,1577.5775775775778
G4d,308.8796822637133,1973.9739739739741
G80,0.5047255758476177,2042.042042042042
G80C,0.5047250714589768,2042.042042042042
DG3_G4d,0.6603868715208628,2134.1341341341345
DG80_G4d,0.6603868715208674,2134.1341341341345
R80,13.86858163263272,2174.1741741741744
DGrep_G4d_G80d,0.7020826829307506,2174.1741741741744
DG1_G4d_G80d,0.7020826829307495,2174.1741741741744
R3,10.566480962123848,2178.1781781781783
DG80,0.08620995297829197,2186.186186186186
DG3,0.08620995297829137,2186.186186186186
G3,42566.50666863215,2242.2422422422424
DG2_G4d_G80d,0.5319195727413369,2262.2622622622625
DG2_G4d,0.352730269319594,2278.2782782782783
R2,11.641655992820104,2290.2902902902906
DG2,0.11535015793906714,2298.2982982982985
DGrep_G4d,0.29425329030019426,2334.3343343343345
DG1_G4d,0.2942532903001938,2334.3343343343345
DG3_G4d_G80d,0.25340317550084585,2346.3463463463468
DG80_G4d_G80d,0.2534031755008476,2346.3463463463468
DGrep,0.0036640267690546614,2350.3503503503507
DG1,0.0036640267690546554,2350.3503503503507
reporter_rna,9.712226314258828,2366.3663663663665
R1,9.710621773552386,2386.3863863863867
G80d,2.03564605286289,2398.3983983983985
G80Cd,1.9847287608975979,2402.4024024024025
G80G3i,8816.908190761176,2430.4304304304305
reporter,4857.122215993432,2478.478478478479
GAI,105385613.62806909,2490.4904904904906
G3i,3754.943027634316,2538.538538538539
G1,529.588355592862,3187.1871871871876
G1GAI,4325.46973276471,3199.1991991991995
G2,883.9593554746388,3207.2072072072074
G2GAE,21595.568940713812,3207.2072072072074
G2GAI,18264.44836057903,3211.2112112112113
